Trade Date,MASI,DSI,FSI 
2019-07-22,29954.56,22876.47,4520.31
2019-07-19,29954.56,22876.47,4520.31
2019-07-18,29928.82,22853.24,4520.31
2019-07-17,29954.46,22876.38,4520.31
2019-07-16,29954.46,22876.38,4520.31
2019-07-15,29954.46,22876.38,4520.31
2019-07-12,29953.83,22875.81,4520.31
2019-07-11,29958.16,22879.72,4520.31
2019-07-10,29958.16,22879.72,4520.31
2019-07-09,29958.16,22879.72,4520.31
2019-07-05,29958.16,22879.72,4520.31
2019-07-04,29669.58,22619.36,4520.31
2019-07-03,29667.52,22617.50,4520.31
2019-07-02,29669.58,22619.36,4520.31
2019-07-01,29958.16,22879.72,4520.31
2019-06-28,29956.00,22877.77,4520.31
2019-06-27,29667.42,22617.41,4520.31
2019-06-26,29669.58,22619.36,4520.31
2019-06-25,29669.58,22619.36,4520.31
2019-06-24,29669.56,22619.34,4520.31
2019-06-21,29669.56,22619.34,4520.31
2019-06-20,29669.05,22619.34,4519.81
2019-06-19,29669.05,22619.34,4519.81
2019-06-18,29669.56,22619.34,4520.31
2019-06-17,29669.56,22619.34,4520.31
2019-06-14,29669.56,22619.34,4520.31
2019-06-13,29671.20,22619.34,4521.93
2019-06-12,29670.98,22619.13,4521.93
2019-06-11,29670.98,22619.13,4521.93
2019-06-10,29671.20,22619.34,4521.93
2019-06-07,29296.55,22281.33,4521.93
2019-06-06,29246.08,22235.79,4521.93
2019-06-04,29246.08,22235.79,4521.93
2019-06-03,29246.08,22235.79,4521.93
2019-05-31,29246.08,22235.79,4521.93
2019-05-30,29099.47,22103.52,4521.93
2019-05-29,29062.24,22069.93,4521.93
2019-05-28,29062.24,22069.93,4521.93
2019-05-27,28672.60,21718.37,4521.94
2019-05-24,28728.11,21768.45,4521.94
2019-05-23,28425.90,21495.79,4521.94
2019-05-22,28423.76,21493.86,4521.94
2019-05-21,28572.23,21627.82,4521.94
2019-05-20,28114.09,21214.47,4521.94
2019-05-17,28114.09,21214.47,4521.94
2019-05-16,28114.09,21214.47,4521.94
2019-05-15,28116.25,21216.43,4521.94
2019-05-13,27783.20,20915.94,4521.94
2019-05-10,27783.20,20915.94,4521.94
2019-05-09,27748.15,20884.32,4521.94
2019-05-08,27693.09,20834.65,4521.94
2019-05-07,27431.60,20598.72,4521.94
2019-05-06,27130.50,20327.07,4521.94
2019-05-03,27130.95,20327.48,4521.94
2019-05-02,27139.20,20334.92,4521.94
2019-04-30,27138.65,20334.43,4521.94
2019-04-29,27019.12,20226.58,4521.94
2019-04-26,27019.12,20226.58,4521.94
2019-04-25,27018.63,20226.14,4521.94
2019-04-24,27151.07,20345.63,4521.94
2019-04-23,27151.07,20345.63,4521.94
2019-04-18,27162.10,20355.58,4521.94
2019-04-17,27040.11,20245.51,4521.94
2019-04-16,27042.45,20247.63,4521.94
2019-04-15,27046.87,20251.62,4521.94
2019-04-12,27044.70,20249.66,4521.94
2019-04-11,27021.25,20228.50,4521.94
2019-04-10,27369.59,20542.78,4521.94
2019-04-09,27307.12,20486.42,4521.94
2019-04-08,27288.80,20469.89,4521.94
2019-04-05,27290.96,20471.84,4521.94
2019-04-04,27290.47,20471.39,4521.94
2019-04-03,27301.49,20481.34,4521.94
2019-04-02,27303.65,20483.29,4521.94
2019-04-01,27303.65,20483.29,4521.94
2019-03-29,27303.65,20483.29,4521.94
2019-03-28,27440.56,20606.81,4521.94
2019-03-27,27440.56,20606.81,4521.94
2019-03-26,27445.85,20611.58,4521.94
2019-03-25,27445.85,20611.58,4521.94
2019-03-22,27445.85,20611.58,4521.94
2019-03-21,27445.85,20611.58,4521.94
2019-03-20,27445.85,20611.58,4521.94
2019-03-19,27451.50,20616.68,4521.94
2019-03-18,27451.65,20616.82,4521.94
2019-03-15,27451.38,20616.57,4521.94
2019-03-14,27451.38,20616.57,4521.94
2019-03-13,27957.17,21072.90,4521.94
2019-03-12,27957.62,21073.31,4521.94
2019-03-11,27947.27,21063.97,4521.94
2019-03-08,27946.78,21063.52,4521.94
2019-03-07,27687.96,20830.02,4521.94
2019-03-06,27687.33,20829.45,4521.94
2019-03-05,27687.33,20829.45,4521.94
2019-03-01,27687.33,20829.45,4521.94
2019-02-28,27687.33,20829.45,4521.94
2019-02-27,27726.84,20865.09,4521.94
2019-02-26,27726.84,20865.09,4521.94
2019-02-25,27725.30,20863.70,4521.94
2019-02-22,27726.75,20864.56,4522.44
2019-02-21,27726.75,20864.56,4522.44
2019-02-20,28168.09,21262.74,4522.44
2019-02-19,28378.24,21452.80,4521.94
2019-02-18,28378.96,21453.44,4521.94
2019-02-15,28387.13,21460.81,4521.94
2019-02-14,28610.74,21526.59,4670.08
2019-02-13,29216.08,21526.59,5265.12
2019-02-12,29326.99,21626.65,5265.12
2019-02-11,29329.88,21629.27,5265.12
2019-02-08,29329.86,21629.24,5265.12
2019-02-07,29329.36,21628.70,5265.12
2019-02-06,29328.77,21628.26,5265.12
2019-02-05,29328.77,21628.26,5265.12
2019-02-04,29328.77,21628.26,5265.12
2019-02-01,29328.77,21628.26,5265.12
2019-01-31,28808.89,21159.22,5265.12
2019-01-30,29328.77,21628.26,5265.12
2019-01-29,29325.54,21625.35,5265.12
2019-01-28,29322.93,21622.99,5265.12
2019-01-25,29322.93,21622.99,5265.12
2019-01-24,29322.93,21622.99,5265.12
2019-01-23,29325.19,21625.03,5265.12
2019-01-22,29338.99,21637.48,5265.12
2019-01-21,29325.19,21625.03,5265.12
2019-01-18,28848.15,21194.64,5265.12
2019-01-17,28859.48,21204.96,5265.12
2019-01-16,28859.48,21204.96,5265.12
2019-01-14,28861.64,21206.93,5265.12
2019-01-11,28861.64,21206.93,5265.12
2019-01-10,28861.64,21206.93,5265.12
2019-01-09,28859.37,21204.87,5265.12
2019-01-08,28867.47,21212.26,5265.12
2019-01-07,28867.47,21212.26,5265.12
2019-01-04,28867.47,21212.26,5265.12
2019-01-03,29094.53,21419.27,5265.12
2019-01-02,28983.53,21318.07,5265.12
